Depth;Temp
0;8
10;8.28
20;8.56
30;8.84
40;9.12
50;9.4
60;9.68
70;9.96
80;10.24
90;10.52
100;10.8
110;11.08
120;11.36
130;11.64
140;11.92
150;12.2
160;12.48
170;12.76
180;13.04
190;13.32
200;13.6
210;13.88
220;14.16
230;14.44
240;14.72
250;15
260;15.28
270;15.56
280;15.84
290;16.12
300;16.4
310;16.68
320;16.96
330;17.24
340;17.52
350;17.8
360;18.08
370;18.36
380;18.64
390;18.92
400;19.2
410;19.48
420;19.76
430;20.04
440;20.32
450;20.6
460;20.88
470;21.16
480;21.44
490;21.72
500;22
510;22.28
520;22.56
530;22.84
540;23.12
550;23.4
560;23.68
570;23.96
580;24.24
590;24.52
600;24.8
610;25.08
620;25.36
630;25.64
640;25.92
650;26.2
660;26.48
670;26.76
680;27.04
690;27.32
700;27.6
710;27.88
720;28.16
730;28.44
740;28.72
750;29
760;29.28
770;29.56
780;29.84
790;30.12
800;30.4
810;30.68
820;30.96
830;31.24
840;31.52
850;31.8
860;32.08
870;32.36
880;32.64
890;32.92
900;33.2
910;33.48
920;33.76
930;34.04
940;34.32
950;34.6
960;34.88
970;35.16
980;35.44
990;35.72
1000;36
1010;36.28
1020;36.56
1030;36.84
1040;37.12
1050;37.4
1060;37.68
1070;37.96
1080;38.24
1090;38.52
1100;38.8
1110;39.08
1120;39.36
1130;39.64
1140;39.92
1150;40.2
1160;40.48
1170;40.76
1180;41.04
1190;41.32
1200;41.6
1210;41.88
1220;42.16
1230;42.44
1240;42.72
1250;43
1260;43.28
1270;43.56
1280;43.84
1290;44.12
1300;44.4
1310;44.68
1320;44.96
1330;45.24
1340;45.52
1350;45.8
1360;46.08
1370;46.36
1380;46.64
1390;46.92
1400;47.2
1410;47.48
1420;47.76
1430;48.04
1440;48.32
1450;48.6
1460;48.88
1470;49.16
1480;49.44
1490;49.72
1500;50
1510;50.28
1520;50.56
1530;50.84
1540;51.12
1550;51.4
1560;51.68
1570;51.96
1580;52.24
1590;52.52
1600;52.8
1610;53.08
1620;53.36
1630;53.64
1640;53.92
1650;54.2
1660;54.48
1670;54.76
1680;55.04
1690;55.32
1700;55.6
1710;55.88
1720;56.16
1730;56.44
1740;56.72
1750;57
1760;57.28
1770;57.56
1780;57.84
1790;58.12
1800;58.4
1810;58.68
1820;58.96
1830;59.24
1840;59.52
1850;59.8
1860;60.08
1870;60.36
1880;60.64
1890;60.92
1900;61.2
1910;61.48
1920;61.76
1930;62.04
1940;62.32
1950;62.6
1960;62.88
1970;63.16
1980;63.44
1990;63.72
2000;64
2010;64.28
2020;64.56
2030;64.84
2040;65.12
2050;65.4
2060;65.68
2070;65.96
2080;66.24
2090;66.52
2100;66.8
2110;67.08
2120;67.36
2130;67.64
2140;67.92
2150;68.2
2160;68.48
2170;68.76
2180;69.04
2190;69.32
2200;69.6
2210;69.88
2220;70.16
2230;70.44
2240;70.72
2250;71
2260;71.28
2270;71.56
2280;71.84
2290;72.12
2300;72.4
2310;72.68
2320;72.96
2330;73.24
2340;73.52
2350;73.8
2360;74.08
2370;74.36
2380;74.64
2390;74.92
2400;75.2
2410;75.48
2420;75.76
2430;76.04
2440;76.32
2450;76.6
2460;76.88
2470;77.16
2480;77.44
2490;77.72
2500;78
2510;78.28
2520;78.56
2530;78.84
2540;79.12
2550;79.4
2560;79.68
2570;79.96
2580;80.24
2590;80.52
2600;80.8
2610;81.08
2620;81.36
2630;81.64
2640;81.92
2650;82.2
2660;82.48
2670;82.76
2680;83.04
2690;83.32
2700;83.6
2710;83.88
2720;84.16
2730;84.44
2740;84.72
2750;85
2760;85.28
2770;85.56
2780;85.84
2790;86.12
2800;86.4
2810;86.68
2820;86.96
2830;87.24
2840;87.52
2850;87.8
2860;88.08
2870;88.36
2880;88.64
2890;88.92
2900;89.2
2910;89.48
2920;89.76
2930;90.04
2940;90.32
2950;90.6
2960;90.88
