ST3_SC_GT6_1_CisnWej - Czas;ST3_SC_GT6_1_CisnWej;ST3_SC_GT6_1_TempWej - Czas;ST3_SC_GT6_1_TempWej;ST3_SC_GT7_1_CisnWej - Czas;ST3_SC_GT7_1_CisnWej;ST3_SC_GT7_1_TempWej - Czas;ST3_SC_GT7_1_TempWej;ST1_FIT_GT6_1_Wart - Czas;ST1_FIT_GT6_1_Wart;ST2_FIT_GT7_1_Wart - Czas;ST2_FIT_GT7_1_Wart
01.01.2021 06:00;;01.01.2021 06:00;;01.01.2021 06:00;;01.01.2021 06:00;;01.01.2021 06:00;-0,0633;01.01.2021 06:00;0,1013
01.01.2021 07:00;;01.01.2021 07:00;;01.01.2021 07:00;;01.01.2021 07:00;;01.01.2021 07:00;-0,03798;01.01.2021 07:00;0,01266
01.01.2021 08:00;;01.01.2021 08:00;;01.01.2021 08:00;;01.01.2021 08:00;;01.01.2021 08:00;-0,0633;01.01.2021 08:00;0,0633
01.01.2021 09:00;;01.01.2021 09:00;;01.01.2021 09:00;;01.01.2021 09:00;;01.01.2021 09:00;0,01266;01.01.2021 09:00;0,03798
01.01.2021 10:00;;01.01.2021 10:00;;01.01.2021 10:00;;01.01.2021 10:00;;01.01.2021 10:00;-0,03798;01.01.2021 10:00;0,07595
01.01.2021 11:00;;01.01.2021 11:00;;01.01.2021 11:00;;01.01.2021 11:00;;01.01.2021 11:00;-0,02532;01.01.2021 11:00;0,0633
01.01.2021 12:00;;01.01.2021 12:00;;01.01.2021 12:00;;01.01.2021 12:00;;01.01.2021 12:00;-0,03798;01.01.2021 12:00;0,0633
01.01.2021 13:00;;01.01.2021 13:00;;01.01.2021 13:00;;01.01.2021 13:00;;01.01.2021 13:00;0;01.01.2021 13:00;0,01266
01.01.2021 14:00;;01.01.2021 14:00;;01.01.2021 14:00;;01.01.2021 14:00;;01.01.2021 14:00;-0,02532;01.01.2021 14:00;0,03798
01.01.2021 15:00;;01.01.2021 15:00;;01.01.2021 15:00;;01.01.2021 15:00;;01.01.2021 15:00;0,02532;01.01.2021 15:00;0,1013
01.01.2021 16:00;;01.01.2021 16:00;;01.01.2021 16:00;;01.01.2021 16:00;;01.01.2021 16:00;-0,02532;01.01.2021 16:00;0,03798
01.01.2021 17:00;;01.01.2021 17:00;;01.01.2021 17:00;;01.01.2021 17:00;;01.01.2021 17:00;-0,05064;01.01.2021 17:00;0,03798
01.01.2021 18:00;;01.01.2021 18:00;;01.01.2021 18:00;;01.01.2021 18:00;;01.01.2021 18:00;-0,02532;01.01.2021 18:00;0,03798
01.01.2021 19:00;;01.01.2021 19:00;;01.01.2021 19:00;;01.01.2021 19:00;;01.01.2021 19:00;-0,03798;01.01.2021 19:00;0,02532
01.01.2021 20:00;;01.01.2021 20:00;;01.01.2021 20:00;;01.01.2021 20:00;;01.01.2021 20:00;-0,02532;01.01.2021 20:00;0,03798
01.01.2021 21:00;;01.01.2021 21:00;;01.01.2021 21:00;;01.01.2021 21:00;;01.01.2021 21:00;-0,03798;01.01.2021 21:00;0,03798
01.01.2021 22:00;;01.01.2021 22:00;;01.01.2021 22:00;;01.01.2021 22:00;;01.01.2021 22:00;-0,05064;01.01.2021 22:00;0,02532
01.01.2021 23:00;;01.01.2021 23:00;;01.01.2021 23:00;;01.01.2021 23:00;;01.01.2021 23:00;-0,02532;01.01.2021 23:00;0,07595
02.01.2021 00:00;;02.01.2021 00:00;;02.01.2021 00:00;;02.01.2021 00:00;;02.01.2021 00:00;-0,02532;02.01.2021 00:00;0,0633
02.01.2021 01:00;;02.01.2021 01:00;;02.01.2021 01:00;;02.01.2021 01:00;;02.01.2021 01:00;-0,0633;02.01.2021 01:00;0,03798
02.01.2021 02:00;;02.01.2021 02:00;;02.01.2021 02:00;;02.01.2021 02:00;;02.01.2021 02:00;0,03798;02.01.2021 02:00;0,01266
02.01.2021 03:00;;02.01.2021 03:00;;02.01.2021 03:00;;02.01.2021 03:00;;02.01.2021 03:00;-0,08861;02.01.2021 03:00;0,02532
02.01.2021 04:00;;02.01.2021 04:00;;02.01.2021 04:00;;02.01.2021 04:00;;02.01.2021 04:00;-0,05064;02.01.2021 04:00;0,0633
02.01.2021 05:00;;02.01.2021 05:00;;02.01.2021 05:00;;02.01.2021 05:00;;02.01.2021 05:00;-0,02532;02.01.2021 05:00;0,03798
02.01.2021 06:00;;02.01.2021 06:00;;02.01.2021 06:00;;02.01.2021 06:00;;02.01.2021 06:00;-0,02532;02.01.2021 06:00;0,01266
02.01.2021 07:00;;02.01.2021 07:00;;02.01.2021 07:00;;02.01.2021 07:00;;02.01.2021 07:00;-0,02532;02.01.2021 07:00;0,03798
02.01.2021 08:00;;02.01.2021 08:00;;02.01.2021 08:00;;02.01.2021 08:00;;02.01.2021 08:00;-0,03798;02.01.2021 08:00;0,03798
02.01.2021 09:00;;02.01.2021 09:00;;02.01.2021 09:00;;02.01.2021 09:00;;02.01.2021 09:00;-0,02532;02.01.2021 09:00;0,0633
02.01.2021 10:00;;02.01.2021 10:00;;02.01.2021 10:00;;02.01.2021 10:00;;02.01.2021 10:00;-0,02532;02.01.2021 10:00;0,02532
02.01.2021 11:00;;02.01.2021 11:00;;02.01.2021 11:00;;02.01.2021 11:00;;02.01.2021 11:00;-0,02532;02.01.2021 11:00;0,02532
02.01.2021 12:00;;02.01.2021 12:00;;02.01.2021 12:00;;02.01.2021 12:00;;02.01.2021 12:00;0;02.01.2021 12:00;0,03798
02.01.2021 13:00;;02.01.2021 13:00;;02.01.2021 13:00;;02.01.2021 13:00;;02.01.2021 13:00;-0,03798;02.01.2021 13:00;0,07595
02.01.2021 14:00;;02.01.2021 14:00;;02.01.2021 14:00;;02.01.2021 14:00;;02.01.2021 14:00;-0,0633;02.01.2021 14:00;0,03798
02.01.2021 15:00;;02.01.2021 15:00;;02.01.2021 15:00;;02.01.2021 15:00;;02.01.2021 15:00;-0,0633;02.01.2021 15:00;0,0633
02.01.2021 16:00;;02.01.2021 16:00;;02.01.2021 16:00;;02.01.2021 16:00;;02.01.2021 16:00;-0,05064;02.01.2021 16:00;0,0633
02.01.2021 17:00;;02.01.2021 17:00;;02.01.2021 17:00;;02.01.2021 17:00;;02.01.2021 17:00;-0,03798;02.01.2021 17:00;0,03798
02.01.2021 18:00;;02.01.2021 18:00;;02.01.2021 18:00;;02.01.2021 18:00;;02.01.2021 18:00;-0,02532;02.01.2021 18:00;0,03798
02.01.2021 19:00;;02.01.2021 19:00;;02.01.2021 19:00;;02.01.2021 19:00;;02.01.2021 19:00;-0,0633;02.01.2021 19:00;0,02532
02.01.2021 20:00;;02.01.2021 20:00;;02.01.2021 20:00;;02.01.2021 20:00;;02.01.2021 20:00;-0,03798;02.01.2021 20:00;0,01266
02.01.2021 21:00;;02.01.2021 21:00;;02.01.2021 21:00;;02.01.2021 21:00;;02.01.2021 21:00;-0,05064;02.01.2021 21:00;0,0633
02.01.2021 22:00;;02.01.2021 22:00;;02.01.2021 22:00;;02.01.2021 22:00;;02.01.2021 22:00;-0,02532;02.01.2021 22:00;0,0633
02.01.2021 23:00;;02.01.2021 23:00;;02.01.2021 23:00;;02.01.2021 23:00;;02.01.2021 23:00;-0,02532;02.01.2021 23:00;0
03.01.2021 00:00;;03.01.2021 00:00;;03.01.2021 00:00;;03.01.2021 00:00;;03.01.2021 00:00;-0,02532;03.01.2021 00:00;0,03798
03.01.2021 01:00;;03.01.2021 01:00;;03.01.2021 01:00;;03.01.2021 01:00;;03.01.2021 01:00;-0,03798;03.01.2021 01:00;0,07595
03.01.2021 02:00;;03.01.2021 02:00;;03.01.2021 02:00;;03.01.2021 02:00;;03.01.2021 02:00;-0,05064;03.01.2021 02:00;0,02532
03.01.2021 03:00;;03.01.2021 03:00;;03.01.2021 03:00;;03.01.2021 03:00;;03.01.2021 03:00;-0,03798;03.01.2021 03:00;0,03798
03.01.2021 04:00;;03.01.2021 04:00;;03.01.2021 04:00;;03.01.2021 04:00;;03.01.2021 04:00;-0,05064;03.01.2021 04:00;0,03798
03.01.2021 05:00;;03.01.2021 05:00;;03.01.2021 05:00;;03.01.2021 05:00;;03.01.2021 05:00;-0,05064;03.01.2021 05:00;0,1519
03.01.2021 06:00;;03.01.2021 06:00;;03.01.2021 06:00;;03.01.2021 06:00;;03.01.2021 06:00;-0,05064;03.01.2021 06:00;0,03798
03.01.2021 07:00;;03.01.2021 07:00;;03.01.2021 07:00;;03.01.2021 07:00;;03.01.2021 07:00;-0,02532;03.01.2021 07:00;0,1013
03.01.2021 08:00;;03.01.2021 08:00;;03.01.2021 08:00;;03.01.2021 08:00;;03.01.2021 08:00;-0,0633;03.01.2021 08:00;0,0633
03.01.2021 09:00;;03.01.2021 09:00;;03.01.2021 09:00;;03.01.2021 09:00;;03.01.2021 09:00;-0,05064;03.01.2021 09:00;0,02532
03.01.2021 10:00;;03.01.2021 10:00;;03.01.2021 10:00;;03.01.2021 10:00;;03.01.2021 10:00;-0,03798;03.01.2021 10:00;0
03.01.2021 11:00;;03.01.2021 11:00;;03.01.2021 11:00;;03.01.2021 11:00;;03.01.2021 11:00;-0,05064;03.01.2021 11:00;0,03798
03.01.2021 12:00;;03.01.2021 12:00;;03.01.2021 12:00;;03.01.2021 12:00;;03.01.2021 12:00;0;03.01.2021 12:00;0,02532
03.01.2021 13:00;;03.01.2021 13:00;;03.01.2021 13:00;;03.01.2021 13:00;;03.01.2021 13:00;-0,02532;03.01.2021 13:00;0,02532
03.01.2021 14:00;;03.01.2021 14:00;;03.01.2021 14:00;;03.01.2021 14:00;;03.01.2021 14:00;-0,02532;03.01.2021 14:00;0,08861
